Original Sentence,Processed Sentence
a man leans against something to text while people pass by on the sidewalk .,"When people passed by the sidewalk, a man leaned over to text."
a man in a burgundy shirt is checking his cellphone on the sidewalk .,The man in the burgundy shirt checked.
a young man checks his phone while leaning on a newspaper bin .,The young man checked while leaning.
a man in a brown shirt looking down at his hand .,skip_because_no_change
a woman wearing a black sari with orange floral print reads a book with a purple cover .,skip_because_no_change
woman in a robe type garb reading a book in what appears to be a public location .,A woman in robe-type garb reading a book.
an indian woman lounges on a park bench in her burka as she reads a book .,Indian women lounge in burkas while reading a book in their own language.
a woman wearing a print robe is reading a book .,skip_because_no_change
a woman in a robe reading a book .,skip_because_no_change
a farmers market on the side of the street selling fruits as a bus passes on the road beside .,A farmer's market selling fruit as the bus passed through the road.
people are shopping at a roadside vegetable stand while a bus passes .,People shopping as the bus passes.
the local street is busy with a food market and bus transportation .,skip_because_no_change
"a city street with fruit carts and a bus , and lots of people .","It's a city street with fruit carts, buses and lots of people."
group of men and women buying fruit at a roadside fruit stand,A group of men and women bought fruit.
a person wearing all white is sitting on concrete while a cat sits behind them .,People in all whites sit with cats.
a man in a robe sits on a stoop with his coffee while a cat keeps him company .,A man in a robe sat with his coffee while the cat kept his company.
this striped tabby cat sits alone looking for some food on the street .,This stripe tabby cat sits looking for some food.
a man drinking coffee does not notice a cat behind him .,The man who drinks coffee doesn't notice the cat.
a man in all white sits outside with a feline friend .,skip_because_no_change
a man in an orange vest is on the sidewalk playing a guitar and singing while others are walking down the sidewalk .,"As the others walked down, a man in an orange vest played guitar and sang."
a man in his own world of him and his music just entertaining on the street corner .,Man.
a man singing and playing guitar on a busy sidewalk .,A singing man playing guitar.
a busker performs on guitar among a crowded street .,Buskers perform on guitar.
a musician on a busy street .,Musician.
"an man in a striped shirt and jeans is performing music using buckets , cans and drumsticks .",skip_because_no_change
a man is sitting on a brick street drumming on various cans and pails .,skip_because_no_change
a man plays a makeshift drum kit made of cans and buckets .,skip_because_no_change
a man in the street is playing drums on old cans .,The man played the drums with an old can.
a man plays buckets like drums .,skip_because_no_change
one young man in a white t-shirt takes a photograph of two other young men wearing baseball caps on a wall in front of a body of water .,skip_because_no_change
a young man is taking pictures of two friends next to the ocean .,A young man took photos of his two friends.
three friends pause for a photo by the water .,skip_because_no_change
three young men standing atop a ledge .,Three young men stood.
adults taking a picture on the coast .,skip_because_no_change
"a man with a black cap , a long beard , a plaid shirt , and black pants is looking out over water .",skip_because_no_change
